iso3,fao_name,region,cropland_Mha,pastures_ha_lu,agland_ha_lu,n_use_t,n_intensity_raw,n_intensity_alt,import_reliance,buffer_proxy_t_ha,exposure_class_base,exposure_class_alt,panel_c_base,panel_c_alt
URY,Uruguay,Latin America & Caribbean,2.1271666666666667,12000000.0,14127166.666666666,178833.66666666666,84.07129985113218,12.658848790156082,1.0,9.156132531995876,high,moderate,intermediate,intermediate
VCT,Saint Vincent and the Grenadines,Latin America & Caribbean,0.005,2000.0,7000.0,140.0,28.0,20.0,1.0,11.616147022661483,high,moderate,data_missing,data_missing
VEN,Venezuela (Bolivarian Republic of),Latin America & Caribbean,3.3,18200000.0,21500000.0,122331.66666666669,37.070202020202025,5.689844961240311,0.0,7.04038510071847,low,low,intermediate,intermediate
VGB,British Virgin Islands,Latin America & Caribbean,0.002,5000.0,7000.0,,,,,,data_missing,data_missing,data_missing,data_missing
VIR,United States Virgin Islands,Latin America & Caribbean,0.0011,2200.0,3300.0,,,,,12.163799650369368,data_missing,data_missing,data_missing,data_missing
ARE,United Arab Emirates,North Africa & West Asia,0.0873166666666666,300000.0,387316.6666666667,10562.666666666666,120.96965069669784,27.271397220190195,0.0174782790428792,2.77101540704464,moderate,low,data_missing,data_missing
ARM,Armenia,North Africa & West Asia,0.5045666666666667,1172200.0,1676766.6666666667,26860.666666666668,53.23511924423598,16.019322903206568,1.0,9.442043518706388,high,moderate,high_buffer_high_exposure,intermediate
AZE,Azerbaijan,North Africa & West Asia,2.3554,2424333.3333333335,4779733.333333334,92063.66666666669,39.08621324049702,19.261255858067397,0.6381549162373562,8.60710045089719,moderate,moderate,intermediate,intermediate
BHR,Bahrain,North Africa & West Asia,0.0041,4000.0,8100.0,143.33333333333334,34.959349593495936,17.695473251028808,0.0,3.6423440840326538,low,low,data_missing,data_missing
CYP,Cyprus,North Africa & West Asia,0.1266712333333333,1803.2,128474.43333333333,8004.666666666667,63.19245858767724,62.30552226603841,1.0,6.33752245112612,high,high,low_buffer_high_exposure,low_buffer_high_exposure
DZA,Algeria,North Africa & West Asia,8.495832866666667,32818783.666666668,41314616.53333333,70200.0,8.262874411692954,1.6991565186950592,,5.848420465503982,data_missing,data_missing,data_missing,data_missing
EGY,Egypt,North Africa & West Asia,3.9186666666666654,0.0,3918666.6666666665,1311833.3333333333,334.7652262674379,334.7652262674379,0.0,6.7033099792695685,high,high,intermediate,intermediate
ESH,Western Sahara,North Africa & West Asia,0.004,5000000.0,5004000.0,,,,,,data_missing,data_missing,data_missing,data_missing
GEO,Georgia,North Africa & West Asia,0.4349,1940000.0,2374900.0,23979.666666666668,55.13834597991876,10.097126896571083,0.0,10.716121960808463,moderate,low,intermediate,high_buffer_low_exposure
IRN,Iran (Islamic Republic of),North Africa & West Asia,17.5,29477000.0,46977000.0,815876.0,46.62148571428571,17.367562849905273,0.0,6.184099708074236,low,low,low_buffer_low_exposure,low_buffer_low_exposure
IRQ,Iraq,North Africa & West Asia,5.427733333333333,4000000.0,9427733.333333332,182515.0,33.6263756509777,19.35937234824914,0.5794424723596091,4.120521461946601,moderate,moderate,intermediate,intermediate
ISR,Israel,North Africa & West Asia,0.4461666666666667,161000.0,607166.6666666667,41581.333333333336,93.19686215913336,68.48421630524292,0.5105530647639082,6.39019586220676,moderate,moderate,intermediate,intermediate
JOR,Jordan,North Africa & West Asia,0.2871,742000.0,1029100.0,18219.0,63.45872518286311,17.703818870858033,0.0,4.332540307112823,moderate,low,intermediate,low_buffer_low_exposure
KWT,Kuwait,North Africa & West Asia,0.014,136000.0,150000.0,2513.0,179.5,16.753333333333334,0.0,2.6307625359864253,high,low,data_missing,data_missing
LBN,Lebanon,North Africa & West Asia,0.2723216666666667,400000.0,672321.6666666667,17258.0,63.37358393566432,25.669260497827178,1.0,6.939466857508784,high,high,intermediate,intermediate
LBY,Libya,North Africa & West Asia,2.05,13300000.0,15350000.0,14433.333333333334,7.040650406504065,0.9402823018458198,0.0,5.320804082347216,low,low,low_buffer_low_exposure,low_buffer_low_exposure
MAR,Morocco,North Africa & West Asia,9.0163245,21000000.0,30016324.5,208533.3333333333,23.12841927254652,6.947330721099224,0.0,5.869281684986649,low,low,low_buffer_low_exposure,low_buffer_low_exposure
OMN,Oman,North Africa & West Asia,0.1093933333333333,1350000.0,1459393.3333333333,9561.333333333334,87.40325431165824,6.5515807938458455,,3.383037580370248,data_missing,data_missing,data_missing,data_missing
PSE,Palestine,North Africa & West Asia,0.1436606,277000.0,420660.6,7905.0,55.02552543982136,18.791871641888974,1.0,,high,moderate,data_missing,data_missing
QAT,Qatar,North Africa & West Asia,0.024,50000.0,74000.0,1412.3333333333333,58.84722222222222,19.085585585585584,0.0,2.217695176637695,moderate,low,data_missing,data_missing
SAU,Saudi Arabia,North Africa & West Asia,3.6199492333333327,170000000.0,173619949.23333332,207130.3333333333,57.2191265628891,1.193009986743887,0.0,3.755846804779376,moderate,low,intermediate,low_buffer_low_exposure
SYR,Syrian Arab Republic,North Africa & West Asia,5.726364333333333,8187768.333333333,13914132.666666666,23081.33333333333,4.030713379338478,1.6588409702767912,1.0,5.47861250605344,moderate,moderate,intermediate,intermediate
TUN,Tunisia,North Africa & West Asia,4.9505,4750000.0,9700500.0,78061.66666666667,15.76844089822577,8.047179698640964,0.0,6.156405808336225,low,low,low_buffer_low_exposure,low_buffer_low_exposure
TUR,TÃ¼rkiye,North Africa & West Asia,23.14133333333333,14617000.0,37758333.33333333,1754274.0,75.80695436736576,46.460578238799386,0.4985820669014879,7.5544271125826175,moderate,moderate,intermediate,intermediate
YEM,Yemen,North Africa & West Asia,1.452,22000000.0,23452000.0,5936.666666666667,4.088613406795226,0.25314116777531415,1.0,7.211843714547771,moderate,moderate,intermediate,intermediate
BMU,Bermuda,Northern America,0.0003,0.0,300.0,59.0,196.66666666666663,196.66666666666666,1.0,,high,high,data_missing,data_missing
CAN,Canada,Northern America,38.692,18872800.0,57564800.0,2794000.0,72.21130983148971,48.53660570348546,0.0,11.135856483285371,moderate,low,intermediate,high_buffer_low_exposure
GRL,Greenland,Northern America,,243110.0,243110.0,23.0,,0.0946073793755913,1.0,,data_missing,moderate,data_missing,data_missing
SPM,Saint Pierre and Miquelon,Northern America,0.002,0.0,2000.0,,,,,,data_missing,data_missing,data_missing,data_missing
USA,United States of America,Northern America,158.15573,266806242.29999998,424961972.29999995,11859149.666666666,74.98400258192774,27.906378546019063,0.1368989519633473,9.364585678135484,moderate,low,intermediate,high_buffer_low_exposure
ASM,American Samoa,Oceania,0.00284,0.0,2840.0,,,,,,data_missing,data_missing,data_missing,data_missing
AUS,Australia,Oceania,31.074,327975000.0,359049000.0,1518114.0,48.85479822359529,4.228152703391459,0.7796030431509823,4.099865020651884,high,moderate,low_buffer_high_exposure,intermediate
COK,Cook Islands,Oceania,0.0019,0.0,1900.0,11.333333333333334,5.964912280701754,5.964912280701754,1.0,,moderate,moderate,data_missing,data_missing
FJI,Fiji,Oceania,0.1396333333333333,173000.0,312633.3333333334,4280.666666666667,30.65648126044402,13.692291289050004,1.0,8.715713802945803,high,moderate,intermediate,intermediate
FSM,Micronesia (Federated States of),Oceania,0.002,3000.0,5000.0,2.0,1.0,0.4,1.0,,moderate,moderate,data_missing,data_missing
GUM,Guam,Oceania,0.008,8000.0,16000.0,,,,,10.321130196835094,data_missing,data_missing,data_missing,data_missing
KIR,Kiribati,Oceania,0.034,0.0,34000.0,0.0,0.0,0.0,1.0,,moderate,moderate,data_missing,data_missing
MHL,Marshall Islands,Oceania,0.007,0.0,7000.0,,,,1.0,,data_missing,data_missing,data_missing,data_missing
MNP,Northern Mariana Islands,Oceania,0.00017,370.0,540.0,,,,,10.873237938031757,data_missing,data_missing,data_missing,data_missing
NCL,New Caledonia,Oceania,0.0097,174330.0,184030.0,562.0,57.93814432989691,3.053849915774602,1.0,7.311163993713358,high,moderate,data_missing,data_missing
NFK,Norfolk Island,Oceania,,1000.0,1000.0,,,,,,data_missing,data_missing,data_missing,data_missing
NIU,Niue,Oceania,0.0038,1000.0,4800.0,,,,,,data_missing,data_missing,data_missing,data_missing
NRU,Nauru,Oceania,0.0004,0.0,400.0,0.0,0.0,0.0,,,data_missing,data_missing,data_missing,data_missing
NZL,New Zealand,Oceania,0.6033333333333334,9729000.0,10332333.333333334,460000.0,762.4309392265193,44.52043746168984,0.814777333660049,9.419118650276388,high,high,high_buffer_high_exposure,high_buffer_high_exposure
PCN,Pitcairn,Oceania,,,,,,,,,data_missing,data_missing,data_missing,data_missing
PLW,Palau,Oceania,0.0023,2000.0,4300.0,8.0,3.4782608695652173,1.8604651162790697,1.0,,moderate,moderate,data_missing,data_missing
PNG,Papua New Guinea,Oceania,1.215,190000.0,1405000.0,27910.666666666668,22.971742112482858,19.865243179122185,1.0,9.222486169033202,moderate,moderate,intermediate,intermediate
PYF,French Polynesia,Oceania,0.0278333333333333,3527.1666666666665,31360.5,309.0,11.10179640718563,9.853159228966375,1.0,,moderate,moderate,data_missing,data_missing
SLB,Solomon Islands,Oceania,0.0961333333333333,8000.0,104133.33333333333,592.6666666666666,6.16504854368932,5.691421254801536,1.0,11.291149988143538,moderate,moderate,data_missing,data_missing
TKL,Tokelau,Oceania,0.0006,0.0,600.0,,,,,,data_missing,data_missing,data_missing,data_missing
TON,Tonga,Oceania,0.031,4000.0,35000.0,77.66666666666667,2.505376344086021,2.219047619047619,1.0,,moderate,moderate,data_missing,data_missing
TUV,Tuvalu,Oceania,0.0018,0.0,1800.0,7.0,3.888888888888889,3.888888888888889,1.0,,moderate,moderate,data_missing,data_missing
VUT,Vanuatu,Oceania,0.145,42000.0,187000.0,4.666666666666667,0.032183908045977,0.024955436720142603,1.0,9.326636252536508,moderate,moderate,intermediate,intermediate
WLF,Wallis and Futuna Islands,Oceania,0.006,0.0,6000.0,,,,,,data_missing,data_missing,data_missing,data_missing
WSM,Samoa,Oceania,0.04445,6880.0,51330.0,19.33333333333333,0.4349456317960254,0.3766478342749528,1.0,,moderate,moderate,data_missing,data_missing
AFG,Afghanistan,South Asia,8.023666666666667,30087333.333333332,38111000.0,74481.33333333333,9.282705330065223,1.9543263974530536,0.9057417522344108,6.847862926930708,moderate,moderate,intermediate,intermediate
BGD,Bangladesh,South Asia,8.7431,600000.0,9343100.0,1340066.6666666667,153.27134159127388,143.42848376520286,0.5309811132022929,7.291343115997189,high,moderate,intermediate,intermediate
BTN,Bhutan,South Asia,0.1011666666666666,413000.0,514166.6666666667,1143.6666666666667,11.304777594728172,2.2243111831442466,1.0,19.26127442088177,moderate,moderate,intermediate,intermediate
IND,India,South Asia,168.4983333333333,10398000.0,178896333.33333334,18965366.666666668,112.55521815250398,106.01316591172915,0.2926905652343007,5.216460043479594,moderate,moderate,intermediate,intermediate
LKA,Sri Lanka,South Asia,2.3717242666666665,440000.0,2811724.2666666666,150603.0,63.499371371556855,53.56250674556424,1.0,10.826665160186405,high,high,high_buffer_high_exposure,high_buffer_high_exposure
MDV,Maldives,South Asia,0.0054,1000.0,6400.0,294.3333333333333,54.50617283950617,45.98958333333333,1.0,,high,high,data_missing,data_missing
NPL,Nepal,South Asia,2.039279566666667,1795300.0,3834579.5666666664,126984.33333333331,62.26921281857267,33.11558180646088,1.0,8.705330433875277,high,high,intermediate,intermediate
PAK,Pakistan,South Asia,31.633333333333333,5000000.0,36633333.33333333,3495354.0,110.4959114857745,95.41457688808009,0.0900964472328591,4.082065441260263,moderate,moderate,intermediate,intermediate
AGO,Angola,Sub-Saharan Africa,5.658666666666667,40174000.0,45832666.666666664,20784.666666666668,3.673067860508954,0.45349023258520127,1.0,3.196829376443717,moderate,moderate,intermediate,intermediate
BDI,Burundi,Sub-Saharan Africa,1.566,483000.0,2049000.0,9077.666666666666,5.796722009365687,4.430291198958842,1.0,7.806123715554425,moderate,moderate,intermediate,intermediate
BEN,Benin,Sub-Saharan Africa,3.958355533333333,550000.0,4508355.533333333,59906.0,15.134062490226372,13.287771906424476,1.0,4.455186503936873,moderate,moderate,intermediate,intermediate
BFA,Burkina Faso,Sub-Saharan Africa,8.138963866666668,6000000.0,14138963.866666667,45724.333333333336,5.617955071725837,3.233923911576774,1.0,2.6719333075903102,moderate,moderate,intermediate,intermediate
BWA,Botswana,Sub-Saharan Africa,0.2618666666666666,25600000.0,25861866.666666668,12094.333333333334,46.18508146639512,0.467651213627271,1.0,2.648024892814998,high,moderate,low_buffer_high_exposure,intermediate
CAF,Central African Republic,Sub-Saharan Africa,2.4277666666666664,2990000.0,5417766.666666666,215.66666666666663,0.0888333585050732,0.0398073006712483,1.0,6.215972922916432,moderate,moderate,intermediate,intermediate
CIV,CÃ´te d'Ivoire,Sub-Saharan Africa,12.631492333333334,13200000.0,25831492.333333336,45437.66666666666,3.597173276728426,1.7590027738363851,1.0,6.062492704585846,moderate,moderate,intermediate,intermediate
CMR,Cameroon,Sub-Saharan Africa,7.812957133333333,2000000.0,9812957.133333333,44379.0,5.680179635270323,4.522489948442793,1.0,7.547573775161924,moderate,moderate,intermediate,intermediate
COD,Democratic Republic of the Congo,Sub-Saharan Africa,15.5764,18200000.0,33776400.0,23591.666666666668,1.5145776088612688,0.6984659900601209,1.0,5.34822957028757,moderate,moderate,intermediate,intermediate
COG,Congo,Sub-Saharan Africa,0.643999,10000000.0,10643999.0,1470.0,2.282612240081118,0.13810598817230255,1.0,6.24896377375443,moderate,moderate,intermediate,intermediate
COM,Comoros,Sub-Saharan Africa,0.118,15000.0,133000.0,66.33333333333333,0.5621468926553672,0.49874686716791977,1.0,10.25060971818104,moderate,moderate,intermediate,intermediate
CPV,Cabo Verde,Sub-Saharan Africa,0.054,25000.0,79000.0,175.33333333333334,3.246913580246914,2.219409282700422,1.0,8.617806730659595,moderate,moderate,data_missing,data_missing
DJI,Djibouti,Sub-Saharan Africa,0.0031333333333333,1700000.0,1703133.3333333333,44.333333333333336,14.148936170212766,0.02603045367362117,1.0,7.286796550023426,moderate,moderate,data_missing,data_missing
ERI,Eritrea,Sub-Saharan Africa,0.692,6900000.0,7592000.0,4090.3333333333335,5.910886319845858,0.5387688795223042,1.0,6.528433240025061,moderate,moderate,intermediate,intermediate
ETH,Ethiopia,Sub-Saharan Africa,18.1897,20000000.0,38189700.0,353096.0,19.41186495654134,9.245843774630332,1.0,7.069246338951768,moderate,moderate,intermediate,intermediate
GAB,Gabon,Sub-Saharan Africa,0.495,1658236.0,2153236.0,4931.666666666667,9.962962962962964,2.290351204729378,1.0,6.991436591170673,moderate,moderate,intermediate,intermediate
GHA,Ghana,Sub-Saharan Africa,7.3254348,5108317.166666667,12433751.966666667,74174.0,10.125542309106349,5.965536404365409,1.0,16.44605149959735,moderate,moderate,intermediate,intermediate
GIN,Guinea,Sub-Saharan Africa,6.089837533333334,10700000.0,16789837.533333335,7055.0,1.1584873917216596,0.42019465560601826,1.0,7.000491248689842,moderate,moderate,intermediate,intermediate
GMB,Gambia,Sub-Saharan Africa,0.447,187000.0,634000.0,899.0,2.011185682326622,1.4179810725552051,1.0,3.967789592522982,moderate,moderate,intermediate,intermediate
GNB,Guinea-Bissau,Sub-Saharan Africa,0.6071561333333333,210333.33333333334,817489.4666666667,4660.0,7.67512628821889,5.700379258709307,1.0,5.524785976043019,moderate,moderate,intermediate,intermediate
GNQ,Equatorial Guinea,Sub-Saharan Africa,0.1,4796.666666666667,104796.66666666667,277.0,2.77,2.6432138426794745,1.0,8.488219231227227,moderate,moderate,intermediate,intermediate
KEN,Kenya,Sub-Saharan Africa,7.348507733333334,21300000.0,28648507.733333334,151075.0,20.55859576968443,5.273398579997242,1.0,5.545021389751564,moderate,moderate,intermediate,intermediate
LBR,Liberia,Sub-Saharan Africa,0.7,1217661.2666666666,1917661.2666666666,5376.0,7.68,2.8034148123274742,1.0,8.88961256901573,moderate,moderate,intermediate,intermediate
LSO,Lesotho,Sub-Saharan Africa,0.3123666666666667,2000000.0,2312366.6666666665,2942.0,9.418418525237437,1.2722895734528838,1.0,6.484909231635613,moderate,moderate,intermediate,intermediate
MDG,Madagascar,Sub-Saharan Africa,3.6,37295000.0,40895000.0,23995.33333333333,6.66537037037037,0.5867546969882218,1.0,6.582870054511001,moderate,moderate,intermediate,intermediate
MLI,Mali,Sub-Saharan Africa,8.167579866666667,34640000.0,42807579.86666667,120969.66666666669,14.810956077744056,2.825893616117811,1.0,2.69941615733878,moderate,moderate,intermediate,intermediate
MOZ,Mozambique,Sub-Saharan Africa,6.044566666666667,35463832.0,41508398.666666664,40210.0,6.652255193369252,0.9687196155868729,1.0,4.272785403577114,moderate,moderate,intermediate,intermediate
MRT,Mauritania,Sub-Saharan Africa,0.46,39250000.0,39710000.0,3532.6666666666665,7.679710144927536,0.08896163854612607,1.0,1.840386931356748,moderate,moderate,intermediate,intermediate
MUS,Mauritius,Sub-Saharan Africa,0.079,7000.0,86000.0,6949.333333333333,87.96624472573839,80.8062015503876,1.0,7.470469600410743,high,high,data_missing,data_missing
MWI,Malawi,Sub-Saharan Africa,4.078333333333333,1850000.0,5928333.333333334,99882.66666666669,24.491050265631387,16.848355355636773,1.0,4.445323555915984,moderate,moderate,intermediate,intermediate
MYT,Mayotte,Sub-Saharan Africa,0.016584,42.0,16626.0,,,,,,data_missing,data_missing,data_missing,data_missing
NAM,Namibia,Sub-Saharan Africa,0.811,38000000.0,38811000.0,17359.333333333332,21.40484997944924,0.44727869246691226,1.0,2.7131150221401863,moderate,moderate,intermediate,intermediate
NER,Niger,Sub-Saharan Africa,17.8139,28782000.0,46595900.0,9866.666666666666,0.5538745960551404,0.21174967468525485,1.0,2.039975638318538,moderate,moderate,intermediate,intermediate
NGA,Nigeria,Sub-Saharan Africa,43.30517173333333,25021000.0,68326171.73333332,488142.6666666667,11.272156352884942,7.144299970029251,0.0,4.185050908552492,low,low,low_buffer_low_exposure,low_buffer_low_exposure
REU,RÃ©union,Sub-Saharan Africa,0.034689,11566.333333333334,46255.333333333336,461.3333333333333,13.299124602419594,9.973624663101912,,,data_missing,data_missing,data_missing,data_missing
RWA,Rwanda,Sub-Saharan Africa,1.5358666666666667,401333.3333333333,1937200.0,10239.666666666666,6.667028387880892,5.285807694954918,1.0,8.343052258621977,moderate,moderate,intermediate,intermediate
SDN,Sudan,Sub-Saharan Africa,21.211,91454000.0,112665000.0,163547.0,7.710480411107444,1.4516220654151688,1.0,3.712341033941667,moderate,moderate,intermediate,intermediate
SDN,Sudan,Sub-Saharan Africa,21.211,,,163547.0,7.710480411107444,,1.0,3.712341033941667,moderate,data_missing,intermediate,data_missing
SEN,Senegal,Sub-Saharan Africa,3.794333333333333,5600000.0,9394333.333333334,38161.333333333336,10.057454098216638,4.062165135010467,0.4183854988254253,3.045167293576875,moderate,moderate,intermediate,intermediate
SHN,Ascension; Saint Helena and Tristan da Cunha,Sub-Saharan Africa,0.004,8000.0,12000.0,,,,,,data_missing,data_missing,data_missing,data_missing
SLE,Sierra Leone,Sub-Saharan Africa,1.749,2200000.0,3949000.0,2478.0,1.4168096054888508,0.6275006330716637,1.0,9.226188061373568,moderate,moderate,intermediate,intermediate
SOM,Somalia,Sub-Saharan Africa,1.1275333333333333,43000000.0,44127533.333333336,,,,,4.231972701963488,data_missing,data_missing,data_missing,data_missing
SSD,South Sudan,Sub-Saharan Africa,2.4777,25773133.333333332,28250833.333333332,95.33333333333331,0.0384765441067656,0.0033745317247278837,1.0,,moderate,moderate,data_missing,data_missing
STP,Sao Tome and Principe,Sub-Saharan Africa,0.041,1000.0,42000.0,113.66666666666669,2.772357723577236,2.706349206349207,1.0,13.61327733884748,moderate,moderate,data_missing,data_missing
SWZ,Eswatini,Sub-Saharan Africa,0.195,1002666.6666666666,1197666.6666666665,7305.333333333333,37.463247863247865,6.099638185360424,1.0,5.248397085394351,high,moderate,low_buffer_high_exposure,intermediate
SYC,Seychelles,Sub-Saharan Africa,0.00155,0.0,1550.0,52.333333333333336,33.763440860215056,33.763440860215056,1.0,15.11981837270795,high,high,data_missing,data_missing
TCD,Chad,Sub-Saharan Africa,5.338,45000000.0,50338000.0,14786.0,2.7699512926189582,0.29373435575509554,1.0,4.511480309089065,moderate,moderate,intermediate,intermediate
TGO,Togo,Sub-Saharan Africa,2.82,1000000.0,3820000.0,9236.666666666666,3.275413711583924,2.4179755671902265,1.0,7.793302377416523,moderate,moderate,intermediate,intermediate
TZA,United Republic of Tanzania,Sub-Saharan Africa,15.309433333333336,24000000.0,39309433.333333336,130357.0,8.514815484135054,3.3161760154263225,1.0,4.420992528917475,moderate,moderate,intermediate,intermediate
UGA,Uganda,Sub-Saharan Africa,9.1,5315000.0,14415000.0,10295.666666666666,1.131391941391941,0.7142328592900913,1.0,7.458064049564926,moderate,moderate,intermediate,intermediate
ZAF,South Africa,Sub-Saharan Africa,12.413,83928000.0,96341000.0,543844.3333333334,43.81248153817235,5.644993651024313,0.7250438057438287,4.515909441324311,high,moderate,low_buffer_high_exposure,intermediate
ZMB,Zambia,Sub-Saharan Africa,3.839,20000000.0,23839000.0,169123.0,44.05392029174264,7.094383153655774,1.0,3.659796464556352,high,moderate,low_buffer_high_exposure,intermediate
ZWE,Zimbabwe,Sub-Saharan Africa,4.077213166666667,12100000.0,16177213.166666666,59994.0,14.71446243980621,3.7085497595851877,0.9102385586169648,3.651288876396944,moderate,moderate,intermediate,intermediate
